ID,DATE,RACE,CHARGE_TYPE,DESCRIPTION
1,2025-10-16,BLACK,M,MINOR IN POSSESSION
2,2024-10-08,BLACK,M,ASSAULT
3,2024-04-14,HISPANIC,F,SEXUAL ASSAULT
4,2024-03-30,HISPANIC,M,THEFT
5,2024-01-31,BLACK,M,CRIMINAL TRESPASS
6,2025-06-01,HISPANIC,M,SHOPLIFTING
7,2024-07-22,WHITE,F,KIDNAPPING
8,2025-07-12,BLACK,M,VANDALISM
9,2025-08-26,BLACK,M,ASSAULT
10,2025-12-15,BLACK,M,DISORDERLY CONDUCT
11,2024-06-08,BLACK,F,MOTOR VEHICLE THEFT
12,2024-04-14,BLACK,M,BATTERY
13,2025-01-02,BLACK,F,BURGLARY
14,2024-02-14,WHITE,M,SHOPLIFTING
15,2024-05-07,BLACK,M,SHOPLIFTING
16,2024-10-27,HISPANIC,F,MOTOR VEHICLE THEFT
17,2025-08-14,BLACK,F,NARCOTICS
18,2024-02-16,HISPANIC,M,DISORDERLY CONDUCT
19,2024-03-22,BLACK,M,PUBLIC INTOXICATION
20,2024-10-11,BLACK,F,MOTOR VEHICLE THEFT
21,2024-06-15,BLACK,M,CRIMINAL TRESPASS
22,2025-11-17,BLACK,F,ARSON
23,2025-10-25,BLACK,F,ARSON
24,2024-06-24,HISPANIC,F,WEAPONS VIOLATION
25,2024-06-16,BLACK,M,DISORDERLY CONDUCT
26,2025-10-17,HISPANIC,F,WEAPONS VIOLATION
27,2025-12-02,BLACK,F,ARMED ROBBERY
28,2024-08-22,BLACK,M,PUBLIC INTOXICATION
29,2024-10-01,BLACK,M,RESISTING ARREST
30,2024-11-18,BLACK,F,HOMICIDE
31,2025-02-09,HISPANIC,M,ASSAULT
32,2024-09-28,BLACK,M,MINOR IN POSSESSION
33,2025-07-28,HISPANIC,M,MINOR IN POSSESSION
34,2025-08-21,BLACK,F,AGGRAVATED ASSAULT
35,2025-01-05,BLACK,M,SHOPLIFTING
36,2025-05-20,BLACK,F,ARMED ROBBERY
37,2024-04-22,BLACK,F,AGGRAVATED BATTERY
38,2025-11-27,BLACK,F,NARCOTICS
39,2025-01-29,BLACK,F,HOMICIDE
40,2025-06-25,BLACK,F,ARMED ROBBERY
41,2025-11-27,WHITE,M,TRAFFIC VIOLATION
42,2025-07-03,WHITE,M,TRAFFIC VIOLATION
43,2024-12-14,BLACK,M,PUBLIC INTOXICATION
44,2024-06-10,BLACK,M,MINOR IN POSSESSION
