ID,DATE,RACE,CHARGE_TYPE,DESCRIPTION
1,2024-01-05,BLACK,M,BATTERY
2,2024-01-12,BLACK,F,NARCOTICS
3,2024-01-15,HISPANIC,M,THEFT
4,2024-01-19,BLACK,M,ASSAULT
5,2024-01-22,WHITE,F,ROBBERY
6,2024-01-28,BLACK,M,WEAPONS VIOLATION
7,2024-02-02,HISPANIC,M,BATTERY
8,2024-02-05,BLACK,F,BURGLARY
9,2024-02-10,BLACK,M,DECEPTIVE PRACTICE
10,2024-02-14,BLACK,M,NARCOTICS
11,2024-02-20,HISPANIC,F,MOTOR VEHICLE THEFT
12,2024-02-25,BLACK,M,THEFT
13,2024-03-01,WHITE,M,CRIMINAL DAMAGE
14,2024-03-05,BLACK,F,NARCOTICS
15,2024-03-11,BLACK,M,BATTERY
16,2024-03-16,HISPANIC,M,ASSAULT
17,2024-03-22,BLACK,M,OTHER OFFENSE
18,2024-03-29,BLACK,F,WEAPONS VIOLATION
19,2024-04-03,HISPANIC,M,THEFT
20,2024-04-09,WHITE,M,BATTERY
21,2024-04-14,BLACK,M,NARCOTICS
22,2024-04-20,BLACK,F,ROBBERY
23,2024-04-26,HISPANIC,M,CRIMINAL TRESPASS
24,2024-05-01,BLACK,M,BATTERY
25,2024-05-07,BLACK,F,NARCOTICS
26,2024-05-12,HISPANIC,M,ASSAULT
27,2024-05-18,BLACK,M,THEFT
28,2024-05-23,BLACK,M,BATTERY
29,2024-05-29,OTHER/ASIAN/PACIFIC ISLANDER,F,DECEPTIVE PRACTICE
30,2024-06-03,BLACK,M,NARCOTICS
31,2024-06-08,HISPANIC,M,THEFT
32,2024-06-14,BLACK,F,BURGLARY
33,2024-06-19,BLACK,M,BATTERY
34,2024-06-25,WHITE,M,PUBLIC PEACE VIOLATION
35,2024-06-30,HISPANIC,F,WEAPONS VIOLATION
36,2024-07-05,BLACK,M,ASSAULT
37,2024-07-11,BLACK,M,NARCOTICS
38,2024-07-16,BLACK,F,ROBBERY
39,2024-07-22,HISPANIC,M,THEFT
40,2024-07-28,BLACK,M,BATTERY
41,2024-08-02,WHITE,F,NARCOTICS
42,2024-08-07,BLACK,M,CRIMINAL TRESPASS
43,2024-08-13,HISPANIC,M,ASSAULT
44,2024-08-18,BLACK,M,THEFT
45,2024-08-24,BLACK,F,MOTOR VEHICLE THEFT
46,2024-08-30,HISPANIC,M,NARCOTICS
47,2024-09-04,BLACK,M,BATTERY
48,2024-09-10,BLACK,M,WEAPONS VIOLATION
49,2024-09-15,WHITE,F,THEFT
50,2024-09-21,BLACK,M,ASSAULT
51,2024-09-27,HISPANIC,M,BATTERY
52,2024-10-02,BLACK,F,NARCOTICS
53,2024-10-08,BLACK,M,THEFT
54,2024-10-14,HISPANIC,M,OTHER OFFENSE
55,2024-10-20,BLACK,M,BATTERY
56,2024-10-25,BLACK,F,ROBBERY
57,2024-10-31,HISPANIC,M,NARCOTICS
58,2024-11-06,WHITE,M,ASSAULT
59,2024-11-12,BLACK,M,THEFT
60,2024-11-17,BLACK,F,BURGLARY
61,2024-11-23,HISPANIC,M,BATTERY
62,2024-11-29,BLACK,M,CRIMINAL DAMAGE
63,2024-12-04,BLACK,M,NARCOTICS
64,2024-12-10,HISPANIC,F,WEAPONS VIOLATION
65,2024-12-15,BLACK,M,THEFT
66,2024-12-21,WHITE,M,ASSAULT
67,2024-12-27,BLACK,M,BATTERY
68,2024-12-31,BLACK,F,NARCOTICS
69,2025-01-05,HISPANIC,M,THEFT
70,2025-01-11,BLACK,M,ASSAULT
71,2025-01-17,BLACK,M,BATTERY
72,2025-01-23,HISPANIC,F,ROBBERY
73,2025-01-29,BLACK,M,NARCOTICS
74,2025-02-04,BLACK,M,THEFT
75,2025-02-10,WHITE,M,CRIMINAL TRESPASS
76,2025-02-16,BLACK,F,WEAPONS VIOLATION
77,2025-02-22,HISPANIC,M,BATTERY
78,2025-02-28,BLACK,M,ASSAULT
79,2025-03-05,BLACK,M,NARCOTICS
80,2025-03-11,HISPANIC,F,BURGLARY
81,2025-03-17,BLACK,M,THEFT
82,2025-03-23,BLACK,M,BATTERY
83,2025-03-29,OTHER/ASIAN/PACIFIC ISLANDER,M,DECEPTIVE PRACTICE
84,2025-04-04,BLACK,F,NARCOTICS
85,2025-04-10,HISPANIC,M,ASSAULT
86,2025-04-16,BLACK,M,THEFT
87,2025-04-22,WHITE,M,BATTERY
88,2025-04-28,BLACK,M,CRIMINAL DAMAGE
89,2025-05-04,BLACK,F,ROBBERY
90,2025-05-10,HISPANIC,M,NARCOTICS
91,2025-05-16,BLACK,M,THEFT
92,2025-05-22,BLACK,M,BATTERY
93,2025-05-28,HISPANIC,F,MOTOR VEHICLE THEFT
94,2025-06-03,BLACK,M,ASSAULT
95,2025-06-09,WHITE,M,NARCOTICS
96,2025-06-15,BLACK,M,THEFT
