ID,DATE,RACE,CHARGE_TYPE,DESCRIPTION
1,2024-01-03,BLACK,M,THEFT
2,2024-01-05,HISPANIC,F,NARCOTICS
3,2024-01-07,BLACK,M,BATTERY
4,2024-01-08,WHITE,F,ASSAULT
5,2024-01-09,BLACK,M,THEFT
6,2024-01-10,HISPANIC,M,BATTERY
7,2024-01-12,BLACK,F,NARCOTICS
8,2024-01-14,BLACK,M,THEFT
9,2024-01-15,HISPANIC,M,CRIMINAL DAMAGE
10,2024-01-16,WHITE,M,BURGLARY
11,2024-01-18,BLACK,M,BATTERY
12,2024-01-19,BLACK,F,ROBBERY
13,2024-01-20,HISPANIC,M,THEFT
14,2024-01-21,BLACK,M,NARCOTICS
15,2024-01-22,BLACK,F,ASSAULT
16,2024-01-23,HISPANIC,M,BATTERY
17,2024-01-25,BLACK,M,THEFT
18,2024-01-26,BLACK,F,ROBBERY
19,2024-01-28,HISPANIC,M,NARCOTICS
20,2024-01-29,WHITE,M,BURGLARY
21,2024-01-30,BLACK,M,BATTERY
22,2024-02-01,BLACK,F,ASSAULT
23,2024-02-02,HISPANIC,M,THEFT
24,2024-02-03,BLACK,M,CRIMINAL DAMAGE
25,2024-02-05,BLACK,F,NARCOTICS
26,2024-02-06,HISPANIC,M,BATTERY
27,2024-02-08,BLACK,M,THEFT
28,2024-02-09,WHITE,F,ROBBERY
29,2024-02-10,BLACK,M,NARCOTICS
30,2024-02-11,HISPANIC,M,THEFT
31,2024-02-13,BLACK,F,ASSAULT
32,2024-02-14,BLACK,M,BATTERY
33,2024-02-15,HISPANIC,M,NARCOTICS
34,2024-02-17,BLACK,M,THEFT
35,2024-02-18,WHITE,M,BURGLARY
36,2024-02-19,BLACK,F,ROBBERY
37,2024-02-20,HISPANIC,M,BATTERY
38,2024-02-22,BLACK,M,CRIMINAL DAMAGE
39,2024-02-23,BLACK,F,NARCOTICS
40,2024-02-24,HISPANIC,M,THEFT
41,2024-02-25,BLACK,M,BATTERY
42,2024-02-27,BLACK,F,ASSAULT
43,2024-02-28,HISPANIC,M,NARCOTICS
44,2024-03-01,BLACK,M,THEFT
45,2024-03-02,WHITE,M,BURGLARY
46,2024-03-03,BLACK,F,ROBBERY
47,2024-03-05,HISPANIC,M,BATTERY
48,2024-03-06,BLACK,M,THEFT
49,2024-03-07,BLACK,F,NARCOTICS
50,2024-03-08,HISPANIC,M,CRIMINAL DAMAGE
51,2024-03-10,BLACK,M,BATTERY
52,2024-03-11,WHITE,F,ASSAULT
53,2024-03-12,BLACK,M,THEFT
54,2024-03-13,HISPANIC,M,NARCOTICS
55,2024-03-15,BLACK,F,ROBBERY
56,2024-03-16,BLACK,M,BATTERY
57,2024-03-17,HISPANIC,M,THEFT
58,2024-03-18,BLACK,M,NARCOTICS
59,2024-03-20,WHITE,M,BURGLARY
60,2024-03-21,BLACK,F,ASSAULT
61,2024-03-22,HISPANIC,M,BATTERY
62,2024-03-23,BLACK,M,THEFT
63,2024-03-25,BLACK,F,ROBBERY
64,2024-03-26,HISPANIC,M,NARCOTICS
65,2024-03-27,BLACK,M,BATTERY
66,2024-03-28,WHITE,M,THEFT
67,2024-03-30,BLACK,F,ASSAULT
68,2024-03-31,HISPANIC,M,NARCOTICS
69,2024-04-01,BLACK,M,BATTERY
70,2024-04-02,BLACK,F,ROBBERY
71,2024-04-03,HISPANIC,M,THEFT
72,2024-04-05,BLACK,M,NARCOTICS
73,2024-04-06,WHITE,M,BURGLARY
74,2024-04-07,BLACK,F,ASSAULT
75,2024-04-08,HISPANIC,M,BATTERY
76,2024-04-10,BLACK,M,THEFT
77,2024-04-11,BLACK,F,NARCOTICS
78,2024-04-12,HISPANIC,M,BATTERY
79,2024-04-13,BLACK,M,THEFT
80,2024-04-15,WHITE,F,ROBBERY
81,2024-04-16,BLACK,M,NARCOTICS
82,2024-04-17,HISPANIC,M,THEFT
83,2024-04-18,BLACK,F,ASSAULT
84,2024-04-20,BLACK,M,BATTERY
85,2024-04-21,HISPANIC,M,NARCOTICS
86,2024-04-22,BLACK,M,THEFT
87,2024-04-23,WHITE,M,BURGLARY
88,2024-04-25,BLACK,F,ROBBERY
89,2024-04-26,HISPANIC,M,BATTERY
90,2024-04-27,BLACK,M,THEFT
91,2024-04-28,BLACK,F,NARCOTICS
92,2024-04-30,HISPANIC,M,THEFT
93,2024-05-01,BLACK,M,BATTERY
94,2024-05-02,WHITE,F,ASSAULT
95,2024-05-03,BLACK,M,NARCOTICS
96,2024-05-05,HISPANIC,M,THEFT
97,2024-05-06,BLACK,F,ROBBERY
98,2024-05-07,BLACK,M,BATTERY
99,2024-05-08,HISPANIC,M,NARCOTICS
100,2024-05-10,BLACK,M,THEFT
101,2024-05-11,WHITE,M,BURGLARY
102,2024-05-12,BLACK,F,ASSAULT
103,2024-05-13,HISPANIC,M,BATTERY
104,2024-05-15,BLACK,M,THEFT
105,2024-05-16,BLACK,F,NARCOTICS
106,2024-05-17,HISPANIC,M,CRIMINAL DAMAGE
107,2024-05-18,BLACK,M,BATTERY
108,2024-05-20,WHITE,F,ROBBERY
109,2024-05-21,BLACK,M,THEFT
110,2024-05-22,HISPANIC,M,NARCOTICS
111,2024-05-23,BLACK,F,ASSAULT
112,2024-05-25,BLACK,M,BATTERY
113,2024-05-26,HISPANIC,M,THEFT
114,2024-05-27,BLACK,M,NARCOTICS
115,2024-05-28,WHITE,M,BURGLARY
116,2024-05-30,BLACK,F,ROBBERY
117,2024-05-31,HISPANIC,M,BATTERY
118,2024-06-01,BLACK,M,THEFT
119,2024-06-02,BLACK,F,NARCOTICS
120,2024-06-03,HISPANIC,M,THEFT
121,2024-06-05,BLACK,M,BATTERY
122,2024-06-06,WHITE,M,BURGLARY
123,2024-06-07,BLACK,F,ASSAULT
124,2024-06-08,HISPANIC,M,NARCOTICS
125,2024-06-10,BLACK,M,THEFT
126,2024-06-11,BLACK,F,ROBBERY
127,2024-06-12,HISPANIC,M,BATTERY
128,2024-06-13,BLACK,M,NARCOTICS
129,2024-06-15,WHITE,M,THEFT
130,2024-06-16,BLACK,F,ASSAULT
131,2024-06-17,HISPANIC,M,BATTERY
132,2024-06-18,BLACK,M,THEFT
133,2024-06-20,BLACK,F,NARCOTICS
134,2024-06-21,HISPANIC,M,THEFT
135,2024-06-22,BLACK,M,BATTERY
136,2024-06-23,WHITE,F,ROBBERY
137,2024-06-25,BLACK,M,THEFT
138,2024-06-26,HISPANIC,M,NARCOTICS
139,2024-06-27,BLACK,F,ASSAULT
140,2024-06-28,BLACK,M,BATTERY
141,2024-06-30,HISPANIC,M,THEFT
142,2024-07-01,BLACK,M,NARCOTICS
143,2024-07-02,WHITE,M,BURGLARY
144,2024-07-03,BLACK,F,ROBBERY
145,2024-07-05,HISPANIC,M,BATTERY
146,2024-07-06,BLACK,M,THEFT
147,2024-07-07,BLACK,F,NARCOTICS
148,2024-07-08,HISPANIC,M,CRIMINAL DAMAGE
