ID,DATE,RACE,CHARGE_TYPE,DESCRIPTION
1,2024-01-03,BLACK,M,THEFT
2,2024-01-04,HISPANIC,F,NARCOTICS
3,2024-01-05,BLACK,M,BATTERY
4,2024-01-07,BLACK,M,ASSAULT
5,2024-01-08,WHITE,M,THEFT
6,2024-01-10,BLACK,F,ROBBERY
7,2024-01-11,HISPANIC,M,CRIMINAL TRESPASS
8,2024-01-12,BLACK,M,BATTERY
9,2024-01-14,BLACK,F,AGGRAVATED ASSAULT
10,2024-01-15,HISPANIC,M,THEFT
11,2024-01-17,BLACK,M,NARCOTICS
12,2024-01-18,BLACK,M,RETAIL THEFT
13,2024-01-20,WHITE,F,BURGLARY
14,2024-01-21,HISPANIC,M,ASSAULT
15,2024-01-23,BLACK,M,BATTERY
16,2024-01-24,BLACK,F,WEAPONS VIOLATION
17,2024-01-26,HISPANIC,M,CRIMINAL DAMAGE
18,2024-01-27,BLACK,M,THEFT
19,2024-01-29,OTHER,M,NARCOTICS
20,2024-01-30,BLACK,F,HOMICIDE
21,2024-02-01,HISPANIC,M,BATTERY
22,2024-02-03,BLACK,M,ASSAULT
23,2024-02-04,BLACK,M,THEFT
24,2024-02-06,WHITE,M,CRIMINAL TRESPASS
25,2024-02-07,HISPANIC,F,NARCOTICS
26,2024-02-09,BLACK,M,BATTERY
27,2024-02-10,BLACK,M,RETAIL THEFT
28,2024-02-12,HISPANIC,M,ASSAULT
29,2024-02-13,BLACK,F,ROBBERY
30,2024-02-15,BLACK,M,NARCOTICS
31,2024-02-16,WHITE,M,THEFT
32,2024-02-18,HISPANIC,M,CRIMINAL DAMAGE
33,2024-02-19,BLACK,M,BATTERY
34,2024-02-21,BLACK,F,AGGRAVATED BATTERY
35,2024-02-22,HISPANIC,M,THEFT
36,2024-02-24,BLACK,M,WEAPONS VIOLATION
37,2024-02-25,BLACK,M,NARCOTICS
38,2024-02-27,OTHER,F,BURGLARY
39,2024-02-28,HISPANIC,M,ASSAULT
40,2024-03-01,BLACK,M,BATTERY
41,2024-03-03,BLACK,M,THEFT
42,2024-03-04,WHITE,M,CRIMINAL TRESPASS
43,2024-03-06,HISPANIC,F,NARCOTICS
44,2024-03-07,BLACK,M,RETAIL THEFT
45,2024-03-09,BLACK,M,BATTERY
46,2024-03-10,HISPANIC,M,ASSAULT
47,2024-03-12,BLACK,F,ROBBERY
48,2024-03-13,BLACK,M,NARCOTICS
49,2024-03-15,WHITE,M,THEFT
50,2024-03-16,HISPANIC,M,CRIMINAL DAMAGE
51,2024-03-18,BLACK,M,BATTERY
52,2024-03-19,BLACK,F,WEAPONS VIOLATION
53,2024-03-21,HISPANIC,M,THEFT
54,2024-03-22,BLACK,M,NARCOTICS
55,2024-03-24,OTHER,M,ASSAULT
56,2024-03-25,BLACK,M,BATTERY
57,2024-03-27,HISPANIC,F,AGGRAVATED ASSAULT
58,2024-03-28,BLACK,M,THEFT
59,2024-03-30,WHITE,M,CRIMINAL TRESPASS
60,2024-04-01,BLACK,M,NARCOTICS
61,2024-04-02,HISPANIC,M,BATTERY
62,2024-04-04,BLACK,F,ROBBERY
63,2024-04-05,BLACK,M,ASSAULT
64,2024-04-07,WHITE,F,BURGLARY
65,2024-04-08,HISPANIC,M,THEFT
66,2024-04-10,BLACK,M,RETAIL THEFT
67,2024-04-11,BLACK,M,NARCOTICS
68,2024-04-13,HISPANIC,M,CRIMINAL DAMAGE
69,2024-04-14,BLACK,F,WEAPONS VIOLATION
70,2024-04-16,BLACK,M,BATTERY
71,2024-04-17,OTHER,M,THEFT
72,2024-04-19,HISPANIC,M,ASSAULT
73,2024-04-20,BLACK,M,NARCOTICS
74,2024-04-22,BLACK,F,AGGRAVATED BATTERY
75,2024-04-23,WHITE,M,BATTERY
76,2024-04-25,HISPANIC,M,THEFT
77,2024-04-26,BLACK,M,CRIMINAL TRESPASS
78,2024-04-28,BLACK,M,NARCOTICS
79,2024-04-29,HISPANIC,F,ROBBERY
80,2024-05-01,BLACK,M,BATTERY
81,2024-05-02,BLACK,M,ASSAULT
82,2024-05-04,WHITE,M,THEFT
83,2024-05-05,HISPANIC,M,NARCOTICS
84,2024-05-07,BLACK,F,WEAPONS VIOLATION
85,2024-05-08,BLACK,M,RETAIL THEFT
86,2024-05-10,HISPANIC,M,CRIMINAL DAMAGE
87,2024-05-11,BLACK,M,BATTERY
88,2024-05-13,OTHER,F,BURGLARY
89,2024-05-14,BLACK,M,THEFT
90,2024-05-16,HISPANIC,M,ASSAULT
91,2024-05-17,BLACK,M,NARCOTICS
92,2024-05-19,BLACK,M,BATTERY
93,2024-05-20,WHITE,M,CRIMINAL TRESPASS
94,2024-05-22,HISPANIC,F,NARCOTICS
95,2024-05-23,BLACK,M,THEFT
96,2024-05-25,BLACK,M,ASSAULT
97,2024-05-26,HISPANIC,M,BATTERY
98,2024-05-28,BLACK,F,ROBBERY
99,2024-05-29,BLACK,M,NARCOTICS
100,2024-05-31,WHITE,M,THEFT
101,2024-06-02,HISPANIC,M,CRIMINAL DAMAGE
102,2024-06-03,BLACK,M,BATTERY
103,2024-06-05,BLACK,F,AGGRAVATED ASSAULT
104,2024-06-06,OTHER,M,NARCOTICS
105,2024-06-08,HISPANIC,M,THEFT
106,2024-06-09,BLACK,M,WEAPONS VIOLATION
107,2024-06-11,BLACK,M,ASSAULT
108,2024-06-12,WHITE,F,BURGLARY
109,2024-06-14,HISPANIC,M,BATTERY
110,2024-06-15,BLACK,M,RETAIL THEFT
111,2024-06-17,BLACK,M,NARCOTICS
112,2024-06-18,HISPANIC,M,THEFT
113,2024-06-20,BLACK,F,ROBBERY
114,2024-06-21,BLACK,M,BATTERY
115,2024-06-23,WHITE,M,CRIMINAL TRESPASS
116,2024-06-24,HISPANIC,M,ASSAULT
117,2024-06-26,BLACK,M,NARCOTICS
118,2024-06-27,BLACK,M,THEFT
119,2024-06-29,OTHER,F,WEAPONS VIOLATION
120,2024-06-30,HISPANIC,M,BATTERY
121,2024-07-02,BLACK,M,CRIMINAL DAMAGE
122,2024-07-03,BLACK,M,NARCOTICS
123,2024-07-05,WHITE,M,THEFT
124,2024-07-06,HISPANIC,F,AGGRAVATED BATTERY
125,2024-07-08,BLACK,M,BATTERY
126,2024-07-09,BLACK,M,ASSAULT
127,2024-07-11,HISPANIC,M,RETAIL THEFT
128,2024-07-12,BLACK,F,NARCOTICS
129,2024-07-14,BLACK,M,THEFT
130,2024-07-15,WHITE,M,CRIMINAL TRESPASS
131,2024-07-17,HISPANIC,M,BATTERY
132,2024-07-18,BLACK,M,NARCOTICS
133,2024-07-20,BLACK,F,ROBBERY
134,2024-07-21,OTHER,M,ASSAULT
135,2024-07-23,HISPANIC,M,THEFT
136,2024-07-24,BLACK,M,BATTERY
137,2024-07-26,BLACK,M,WEAPONS VIOLATION
138,2024-07-27,WHITE,F,BURGLARY
139,2024-07-29,HISPANIC,M,NARCOTICS
140,2024-07-30,BLACK,M,CRIMINAL DAMAGE
141,2024-08-01,BLACK,M,THEFT
142,2024-08-02,HISPANIC,M,BATTERY
143,2024-08-04,BLACK,F,AGGRAVATED ASSAULT
144,2024-08-05,BLACK,M,NARCOTICS
145,2024-08-07,WHITE,M,ASSAULT
146,2024-08-08,HISPANIC,M,RETAIL THEFT
147,2024-08-10,BLACK,M,BATTERY
148,2024-08-11,BLACK,M,THEFT
149,2024-08-13,OTHER,F,WEAPONS VIOLATION
150,2024-08-14,HISPANIC,M,NARCOTICS
151,2025-01-05,BLACK,M,BATTERY
152,2025-01-07,HISPANIC,F,NARCOTICS
153,2025-01-08,BLACK,M,THEFT
154,2025-01-10,BLACK,M,ASSAULT
155,2025-01-11,WHITE,M,CRIMINAL TRESPASS
156,2025-01-13,HISPANIC,M,BATTERY
157,2025-01-14,BLACK,F,ROBBERY
158,2025-01-16,BLACK,M,NARCOTICS
159,2025-01-17,OTHER,M,THEFT
160,2025-01-19,HISPANIC,M,CRIMINAL DAMAGE
161,2025-01-20,BLACK,M,BATTERY
162,2025-01-22,BLACK,F,WEAPONS VIOLATION
163,2025-01-23,WHITE,M,THEFT
164,2025-01-25,HISPANIC,M,ASSAULT
165,2025-01-26,BLACK,M,NARCOTICS
166,2025-01-28,BLACK,M,RETAIL THEFT
167,2025-01-29,HISPANIC,F,AGGRAVATED BATTERY
168,2025-01-31,BLACK,M,BATTERY
169,2025-02-01,BLACK,M,THEFT
170,2025-02-03,WHITE,M,CRIMINAL TRESPASS
171,2025-02-04,HISPANIC,M,NARCOTICS
172,2025-02-06,BLACK,F,BURGLARY
173,2025-02-07,BLACK,M,ASSAULT
174,2025-02-09,HISPANIC,M,BATTERY
175,2025-02-10,BLACK,M,THEFT
176,2025-02-12,OTHER,M,NARCOTICS
177,2025-02-13,BLACK,M,RETAIL THEFT
178,2025-02-15,WHITE,F,ROBBERY
179,2025-02-16,HISPANIC,M,CRIMINAL DAMAGE
180,2025-02-18,BLACK,M,BATTERY
