D,DATE,RACE,CHARGE_TYPE,DESCRIPTION
1,2024-01-03,BLACK,M,THEFT
2,2024-01-05,BLACK,F,NARCOTICS
3,2024-01-07,HISPANIC,M,BATTERY
4,2024-01-08,BLACK,M,ASSAULT
5,2024-01-10,WHITE,M,THEFT
6,2024-01-12,BLACK,F,ROBBERY
7,2024-01-14,HISPANIC,M,CRIMINAL TRESPASS
8,2024-01-15,BLACK,M,BATTERY
9,2024-01-17,BLACK,F,WEAPONS VIOLATION
10,2024-01-19,HISPANIC,M,THEFT
11,2024-01-20,BLACK,M,NARCOTICS
12,2024-01-22,BLACK,M,ASSAULT
13,2024-01-24,OTHER,M,CRIMINAL DAMAGE
14,2024-01-25,HISPANIC,F,BURGLARY
15,2024-01-27,BLACK,M,BATTERY
16,2024-01-29,BLACK,M,THEFT
17,2024-01-30,WHITE,F,NARCOTICS
18,2024-02-01,HISPANIC,M,ASSAULT
19,2024-02-03,BLACK,M,RETAIL THEFT
20,2024-02-04,BLACK,F,AGGRAVATED BATTERY
21,2024-02-06,HISPANIC,M,CRIMINAL TRESPASS
22,2024-02-08,BLACK,M,NARCOTICS
23,2024-02-10,BLACK,M,BATTERY
24,2024-02-11,ASIAN,M,THEFT
25,2024-02-13,HISPANIC,F,ROBBERY
26,2024-02-15,BLACK,M,ASSAULT
27,2024-02-16,BLACK,M,CRIMINAL DAMAGE
28,2024-02-18,WHITE,M,NARCOTICS
29,2024-02-20,HISPANIC,M,BATTERY
30,2024-02-21,BLACK,F,WEAPONS VIOLATION
31,2024-02-23,BLACK,M,THEFT
32,2024-02-25,HISPANIC,M,ASSAULT
33,2024-02-26,BLACK,M,NARCOTICS
34,2024-02-28,BLACK,M,BATTERY
35,2024-03-01,WHITE,M,CRIMINAL TRESPASS
36,2024-03-03,HISPANIC,F,BURGLARY
37,2024-03-05,BLACK,M,THEFT
38,2024-03-06,BLACK,M,ASSAULT
39,2024-03-08,HISPANIC,M,NARCOTICS
40,2024-03-10,BLACK,F,AGGRAVATED ASSAULT
41,2024-03-11,BLACK,M,BATTERY
42,2024-03-13,OTHER,M,THEFT
43,2024-03-15,HISPANIC,M,CRIMINAL DAMAGE
44,2024-03-16,BLACK,M,NARCOTICS
45,2024-03-18,BLACK,F,ROBBERY
46,2024-03-20,WHITE,M,BATTERY
47,2024-03-21,HISPANIC,M,ASSAULT
48,2024-03-23,BLACK,M,THEFT
49,2024-03-25,BLACK,M,NARCOTICS
50,2024-03-26,HISPANIC,F,WEAPONS VIOLATION
51,2024-04-01,BLACK,M,BATTERY
52,2024-04-03,HISPANIC,M,CRIMINAL TRESPASS
53,2024-04-05,BLACK,F,NARCOTICS
54,2024-04-06,BLACK,M,THEFT
55,2024-04-08,WHITE,M,ASSAULT
56,2024-04-10,HISPANIC,M,BATTERY
57,2024-04-11,BLACK,M,RETAIL THEFT
58,2024-04-13,BLACK,F,AGGRAVATED BATTERY
59,2024-04-15,OTHER,M,NARCOTICS
60,2024-04-16,HISPANIC,M,CRIMINAL DAMAGE
61,2024-04-18,BLACK,M,THEFT
62,2024-04-20,BLACK,M,BATTERY
63,2024-04-21,WHITE,F,ROBBERY
64,2024-04-23,HISPANIC,M,ASSAULT
65,2024-04-25,BLACK,M,NARCOTICS
66,2024-04-26,BLACK,M,CRIMINAL TRESPASS
67,2024-05-01,HISPANIC,M,BATTERY
68,2024-05-03,BLACK,F,WEAPONS VIOLATION
69,2024-05-05,BLACK,M,THEFT
70,2024-05-06,ASIAN,M,NARCOTICS
71,2024-05-08,HISPANIC,M,ASSAULT
72,2024-05-10,BLACK,M,BATTERY
73,2024-05-11,BLACK,M,CRIMINAL DAMAGE
74,2024-05-13,WHITE,M,THEFT
75,2024-05-15,HISPANIC,F,BURGLARY
76,2024-05-16,BLACK,M,NARCOTICS
77,2024-05-18,BLACK,M,BATTERY
78,2024-05-20,HISPANIC,M,ASSAULT
79,2024-05-21,BLACK,F,AGGRAVATED ASSAULT
80,2024-05-23,BLACK,M,THEFT
81,2024-06-01,WHITE,M,CRIMINAL TRESPASS
82,2024-06-03,HISPANIC,M,NARCOTICS
83,2024-06-05,BLACK,M,BATTERY
84,2024-06-06,BLACK,M,ASSAULT
85,2024-06-08,HISPANIC,F,ROBBERY
86,2024-06-10,BLACK,M,THEFT
87,2024-06-11,BLACK,M,NARCOTICS
88,2024-06-13,OTHER,M,BATTERY
89,2024-06-15,HISPANIC,M,CRIMINAL DAMAGE
90,2024-06-16,BLACK,F,WEAPONS VIOLATION
91,2024-06-18,BLACK,M,ASSAULT
92,2024-06-20,WHITE,M,THEFT
93,2024-06-21,HISPANIC,M,NARCOTICS
94,2024-06-23,BLACK,M,BATTERY
95,2024-06-25,BLACK,M,CRIMINAL TRESPASS
96,2024-07-01,HISPANIC,F,NARCOTICS
97,2024-07-03,BLACK,M,THEFT
98,2024-07-05,BLACK,M,ASSAULT
99,2024-07-06,WHITE,M,BATTERY
100,2024-07-08,HISPANIC,M,RETAIL THEFT
101,2025-01-04,BLACK,M,THEFT
102,2025-01-06,HISPANIC,F,NARCOTICS
103,2025-01-08,BLACK,M,BATTERY
104,2025-01-09,BLACK,M,ASSAULT
105,2025-01-11,WHITE,M,CRIMINAL DAMAGE
106,2025-01-13,HISPANIC,M,NARCOTICS
107,2025-01-14,BLACK,F,ROBBERY
108,2025-01-16,BLACK,M,BATTERY
109,2025-01-18,HISPANIC,M,THEFT
110,2025-01-19,BLACK,M,WEAPONS VIOLATION
111,2025-01-21,OTHER,M,ASSAULT
112,2025-01-23,BLACK,F,AGGRAVATED BATTERY
113,2025-01-24,HISPANIC,M,CRIMINAL TRESPASS
114,2025-01-26,BLACK,M,NARCOTICS
115,2025-01-28,BLACK,M,BATTERY
116,2025-01-29,WHITE,M,THEFT
117,2025-01-31,HISPANIC,M,ASSAULT
118,2025-02-02,BLACK,F,NARCOTICS
119,2025-02-03,BLACK,M,CRIMINAL DAMAGE
120,2025-02-05,HISPANIC,M,BATTERY
121,2025-02-07,BLACK,M,THEFT
122,2025-02-08,BLACK,M,NARCOTICS
123,2025-02-10,ASIAN,F,WEAPONS VIOLATION
124,2025-02-12,HISPANIC,M,ASSAULT
125,2025-02-13,BLACK,M,BATTERY
126,2025-02-15,BLACK,M,RETAIL THEFT
