ID,DATE,RACE,CHARGE_TYPE,DESCRIPTION
AR-001,2024-01-03,BLACK,F,THEFT
AR-002,2024-01-05,WHITE,M,BATTERY
AR-003,2024-01-07,HISPANIC,F,NARCOTICS
AR-004,2024-01-09,BLACK,M,ASSAULT
AR-005,2024-01-11,WHITE,F,FRAUD
AR-006,2024-01-13,HISPANIC,M,CRIMINAL DAMAGE
AR-007,2024-01-15,BLACK,F,ROBBERY
AR-008,2024-01-17,ASIAN,M,THEFT
AR-009,2024-01-19,WHITE,F,NARCOTICS
AR-010,2024-01-21,BLACK,M,WEAPONS VIOLATION
AR-011,2024-01-23,HISPANIC,F,THEFT
AR-012,2024-01-25,WHITE,M,DUI
AR-013,2024-01-27,BLACK,F,BATTERY
AR-014,2024-01-29,HISPANIC,M,NARCOTICS
AR-015,2024-02-01,WHITE,F,ASSAULT
AR-016,2024-02-03,BLACK,M,THEFT
AR-017,2024-02-05,HISPANIC,F,CRIMINAL DAMAGE
AR-018,2024-02-07,WHITE,M,FRAUD
AR-019,2024-02-09,BLACK,F,ROBBERY
AR-020,2024-02-11,HISPANIC,M,BATTERY
AR-021,2024-02-13,WHITE,F,NARCOTICS
AR-022,2024-02-15,BLACK,M,ASSAULT
AR-023,2024-02-17,ASIAN,F,THEFT
AR-024,2024-02-19,WHITE,M,WEAPONS VIOLATION
AR-025,2024-02-21,BLACK,F,DUI
AR-026,2024-02-23,HISPANIC,M,THEFT
AR-027,2024-02-25,WHITE,F,BATTERY
AR-028,2024-02-27,BLACK,M,NARCOTICS
AR-029,2024-03-01,HISPANIC,F,CRIMINAL DAMAGE
AR-030,2024-03-03,WHITE,M,ROBBERY
AR-031,2024-03-05,BLACK,F,ASSAULT
AR-032,2024-03-07,HISPANIC,M,THEFT
AR-033,2024-03-09,WHITE,F,FRAUD
AR-034,2024-03-11,BLACK,M,BATTERY
AR-035,2024-03-13,ASIAN,F,NARCOTICS
AR-036,2024-03-15,WHITE,M,CRIMINAL DAMAGE
