ID,DATE,RACE,CHARGE_TYPE,DESCRIPTION
1001,2024-01-12,BLACK,F,ROBBERY
1002,2024-01-15,HISPANIC,M,BATTERY
1003,2024-01-20,WHITE,M,THEFT
1004,2024-01-22,BLACK,F,NARCOTICS
1005,2024-02-05,BLACK,M,ASSAULT
1006,2024-02-10,HISPANIC,F,BURGLARY
1007,2024-02-14,BLACK,M,WEAPONS VIOLATION
1008,2024-02-28,WHITE,M,DECEPTIVE PRACTICE
1009,2024-03-03,BLACK,F,BATTERY
1010,2024-03-12,HISPANIC,M,MOTOR VEHICLE THEFT
1011,2024-03-15,BLACK,M,NARCOTICS
1012,2024-03-25,WHITE,F,THEFT
1013,2024-04-02,BLACK,F,CRIMINAL TRESPASS
1014,2024-04-10,BLACK,M,ROBBERY
1015,2024-04-18,HISPANIC,M,BATTERY
1016,2024-04-25,BLACK,F,NARCOTICS
1017,2024-05-01,WHITE,M,ASSAULT
1018,2024-05-12,BLACK,M,WEAPONS VIOLATION
1019,2024-05-20,HISPANIC,F,THEFT
1020,2024-05-30,BLACK,M,BATTERY
1021,2024-06-05,BLACK,F,MOTOR VEHICLE THEFT
1022,2024-06-12,WHITE,M,NARCOTICS
1023,2024-06-20,BLACK,M,ROBBERY
1024,2024-06-28,HISPANIC,M,BATTERY
1025,2024-07-04,BLACK,F,WEAPONS VIOLATION
1026,2024-07-15,BLACK,M,ASSAULT
1027,2024-07-22,WHITE,F,THEFT
1028,2024-08-01,HISPANIC,M,NARCOTICS
1029,2024-08-10,BLACK,M,BATTERY
1030,2024-08-18,BLACK,F,ROBBERY
1031,2024-09-02,WHITE,M,DECEPTIVE PRACTICE
1032,2024-09-12,BLACK,M,NARCOTICS
1033,2024-09-20,HISPANIC,F,BATTERY
1034,2024-09-28,BLACK,M,WEAPONS VIOLATION
1035,2024-10-05,BLACK,F,THEFT
1036,2024-10-15,WHITE,M,BURGLARY
1037,2024-10-22,HISPANIC,M,NARCOTICS
1038,2024-11-01,BLACK,M,BATTERY
1039,2024-11-10,BLACK,F,ASSAULT
1040,2024-11-18,WHITE,M,THEFT
1041,2024-11-25,HISPANIC,F,MOTOR VEHICLE THEFT
1042,2024-12-05,BLACK,M,WEAPONS VIOLATION
1043,2024-12-12,BLACK,F,NARCOTICS
1044,2024-12-20,WHITE,M,BATTERY
1045,2024-12-28,HISPANIC,M,ROBBERY
1046,2025-01-05,BLACK,M,THEFT
1047,2025-01-12,BLACK,F,BATTERY
1048,2025-01-18,WHITE,M,NARCOTICS
1049,2025-01-25,HISPANIC,F,ASSAULT
1050,2025-02-02,BLACK,M,WEAPONS VIOLATION
1051,2025-02-10,BLACK,F,NARCOTICS
1052,2025-02-18,WHITE,M,THEFT
1053,2025-02-25,HISPANIC,M,BATTERY
1054,2025-03-03,BLACK,M,ROBBERY
1055,2025-03-12,BLACK,F,MOTOR VEHICLE THEFT
1056,2025-03-20,WHITE,M,NARCOTICS
1057,2025-03-28,HISPANIC,F,BURGLARY
1058,2025-04-05,BLACK,M,WEAPONS VIOLATION
1059,2025-04-12,BLACK,F,BATTERY
1060,2025-04-20,WHITE,M,ASSAULT
1061,2025-04-28,HISPANIC,M,THEFT
1062,2025-05-05,BLACK,M,NARCOTICS
1063,2025-05-12,BLACK,F,ROBBERY
1064,2025-05-20,WHITE,F,BATTERY
1065,2025-05-28,HISPANIC,M,WEAPONS VIOLATION
1066,2025-06-05,BLACK,M,THEFT
1067,2025-06-12,BLACK,F,NARCOTICS
1068,2025-06-20,WHITE,M,BATTERY
1069,2025-06-28,HISPANIC,F,MOTOR VEHICLE THEFT
1070,2025-07-04,BLACK,M,ASSAULT
1071,2025-07-12,BLACK,F,WEAPONS VIOLATION
1072,2025-07-20,WHITE,M,THEFT
1073,2025-07-28,HISPANIC,M,NARCOTICS
1074,2025-08-05,BLACK,M,BATTERY
1075,2025-08-12,BLACK,F,ROBBERY
1076,2025-08-20,WHITE,F,ASSAULT
1077,2025-08-28,HISPANIC,M,MOTOR VEHICLE THEFT
1078,2025-09-05,BLACK,M,WEAPONS VIOLATION
1079,2025-09-12,BLACK,F,NARCOTICS
1080,2025-09-20,WHITE,M,THEFT
1081,2025-09-28,HISPANIC,F,BATTERY
1082,2025-10-05,BLACK,M,ROBBERY
1083,2025-10-12,BLACK,F,ASSAULT
1084,2025-10-20,WHITE,M,NARCOTICS
1085,2025-10-28,HISPANIC,M,BURGLARY
1086,2025-11-05,BLACK,M,BATTERY
1087,2025-11-12,BLACK,F,WEAPONS VIOLATION
1088,2025-11-20,WHITE,F,THEFT
1089,2025-11-28,HISPANIC,M,NARCOTICS
1090,2025-12-05,BLACK,M,ROBBERY
1091,2025-12-12,BLACK,F,BATTERY
1092,2025-12-20,WHITE,M,ASSAULT
1093,2025-12-28,HISPANIC,F,MOTOR VEHICLE THEFT
1094,2024-01-30,BLACK,M,NARCOTICS
1095,2024-02-15,BLACK,F,THEFT
1096,2024-03-05,WHITE,M,BATTERY
1097,2024-04-12,HISPANIC,M,WEAPONS VIOLATION
1098,2024-05-18,BLACK,M,ROBBERY
1099,2024-06-25,BLACK,F,ASSAULT
1100,2024-07-10,WHITE,M,NARCOTICS
1101,2024-08-22,HISPANIC,F,THEFT
1102,2024-09-05,BLACK,M,BATTERY
1103,2024-10-18,BLACK,F,NARCOTICS
1104,2024-11-30,WHITE,M,WEAPONS VIOLATION
1105,2024-12-15,HISPANIC,M,ROBBERY
1106,2025-01-10,BLACK,M,ASSAULT
1107,2025-02-20,BLACK,F,THEFT
1108,2025-03-05,WHITE,M,BATTERY
1109,2025-04-15,HISPANIC,F,NARCOTICS
1110,2025-05-22,BLACK,M,WEAPONS VIOLATION
1111,2025-06-10,BLACK,F,ROBBERY
1112,2025-07-18,WHITE,M,THEFT
1113,2025-08-25,HISPANIC,M,BATTERY
1114,2025-09-15,BLACK,M,NARCOTICS
1115,2025-10-30,BLACK,F,ASSAULT
1116,2025-11-12,WHITE,M,WEAPONS VIOLATION
1117,2025-12-20,HISPANIC,F,ROBBERY
1118,2024-01-08,BLACK,M,BATTERY
1119,2024-02-22,BLACK,F,NARCOTICS
1120,2024-03-10,WHITE,M,THEFT
1121,2024-04-05,HISPANIC,M,ROBBERY
1122,2024-05-12,BLACK,M,ASSAULT
1123,2024-06-18,BLACK,F,WEAPONS VIOLATION
1124,2024-07-25,WHITE,M,NARCOTICS
1125,2024-08-30,HISPANIC,F,BATTERY
1126,2024-09-12,BLACK,M,THEFT
1127,2024-10-20,BLACK,F,ROBBERY
1128,2024-11-05,WHITE,M,BATTERY
1129,2024-12-12,HISPANIC,M,WEAPONS VIOLATION
1130,2025-01-22,BLACK,M,NARCOTICS
1131,2025-02-28,BLACK,F,ASSAULT
1132,2025-03-15,WHITE,M,THEFT
1133,2025-04-10,HISPANIC,F,BATTERY
1134,2025-05-18,BLACK,M,ROBBERY
1135,2025-06-25,BLACK,F,NARCOTICS
1136,2025-07-30,WHITE,M,WEAPONS VIOLATION
1137,2025-08-15,HISPANIC,M,THEFT
1138,2025-09-22,BLACK,M,BATTERY
1139,2025-10-10,BLACK,F,ASSAULT
1140,2025-11-18,WHITE,M,NARCOTICS
1141,2025-12-05,HISPANIC,F,WEAPONS VIOLATION
1142,2024-01-15,BLACK,M,THEFT
1143,2024-02-10,BLACK,F,BATTERY
1144,2024-03-25,WHITE,M,ROBBERY
1145,2024-04-18,HISPANIC,M,NARCOTICS
1146,2024-05-30,BLACK,M,WEAPONS VIOLATION
1147,2024-06-12,BLACK,F,ASSAULT
1148,2024-07-20,WHITE,M,BATTERY
1149,2024-08-05,HISPANIC,F,THEFT
1150,2024-09-18,BLACK,M,NARCOTICS
1151,2024-10-25,BLACK,F,ROBBERY
1152,2024-11-12,WHITE,M,WEAPONS VIOLATION
1153,2024-12-30,HISPANIC,M,BATTERY
1154,2025-01-15,BLACK,M,NARCOTICS
1155,2025-02-10,BLACK,F,THEFT
1156,2025-03-25,WHITE,M,ASSAULT
1157,2025-04-18,HISPANIC,F,WEAPONS VIOLATION
1158,2025-05-30,BLACK,M,BATTERY
1159,2025-06-12,BLACK,F,ROBBERY
1160,2025-07-20,WHITE,M,NARCOTICS
1161,2025-08-05,HISPANIC,M,THEFT
1162,2025-09-18,BLACK,M,WEAPONS VIOLATION
1163,2025-10-25,BLACK,F,BATTERY
1164,2025-11-12,WHITE,M,ASSAULT
1165,2025-12-30,HISPANIC,F,NARCOTICS
1166,2024-01-22,BLACK,M,BATTERY
1167,2024-02-05,BLACK,F,ROBBERY
1168,2024-03-12,WHITE,M,THEFT
1169,2024-04-20,HISPANIC,M,NARCOTICS
1170,2024-05-28,BLACK,M,WEAPONS VIOLATION
1171,2024-06-05,BLACK,F,ASSAULT
1172,2024-07-15,WHITE,M,BATTERY
1173,2024-08-22,HISPANIC,F,THEFT
1174,2024-09-30,BLACK,M,NARCOTICS
1175,2024-10-12,BLACK,F,ROBBERY
1176,2024-11-20,WHITE,M,WEAPONS VIOLATION
1177,2024-12-05,HISPANIC,M,BATTERY
1178,2025-01-28,BLACK,M,THEFT
1179,2025-02-15,BLACK,F,NARCOTICS
1180,2025-03-10,WHITE,M,ASSAULT
1181,2025-04-22,HISPANIC,F,WEAPONS VIOLATION
1182,2025-05-30,BLACK,M,BATTERY
1183,2025-06-12,BLACK,F,ROBBERY
1184,2025-07-25,WHITE,M,NARCOTICS
1185,2025-08-05,HISPANIC,M,THEFT
1186,2025-09-18,BLACK,M,WEAPONS VIOLATION
1187,2025-10-20,BLACK,F,BATTERY
1188,2025-11-05,WHITE,M,ASSAULT
1189,2025-12-15,HISPANIC,F,NARCOTICS
1190,2024-01-10,BLACK,M,ROBBERY
1191,2024-02-18,BLACK,F,BATTERY
1192,2024-03-22,WHITE,M,THEFT
1193,2024-04-30,HISPANIC,M,NARCOTICS
1194,2024-05-12,BLACK,M,WEAPONS VIOLATION
1195,2024-06-20,BLACK,F,ASSAULT
1196,2024-07-28,WHITE,M,BATTERY
1197,2024-08-05,HISPANIC,F,ROBBERY
1198,2024-09-15,BLACK,M,THEFT
1199,2024-10-22,BLACK,F,NARCOTICS
1200,2024-11-30,WHITE,M,WEAPONS VIOLATION
1201,2024-12-12,HISPANIC,M,BATTERY
1202,2025-01-05,BLACK,M,ASSAULT
1203,2025-02-18,BLACK,F,THEFT
1204,2025-03-25,WHITE,M,NARCOTICS
1205,2025-04-10,HISPANIC,F,WEAPONS VIOLATION
1206,2025-05-15,BLACK,M,BATTERY
1207,2025-06-22,BLACK,F,ROBBERY
1208,2025-07-30,WHITE,M,ASSAULT
1209,2025-08-12,HISPANIC,M,THEFT
1210,2025-09-05,BLACK,M,NARCOTICS
1211,2025-10-18,BLACK,F,WEAPONS VIOLATION
1212,2025-11-25,WHITE,M,BATTERY
1213,2025-12-30,HISPANIC,F,ROBBERY
1214,2024-01-15,BLACK,M,NARCOTICS
1215,2024-02-10,BLACK,F,THEFT
1216,2024-03-20,WHITE,M,BATTERY
