ID,DATE,RACE,CHARGE_TYPE,DESCRIPTION
1,2024-01-03,Black,M,THEFT
2,2024-01-04,White,M,BATTERY
3,2024-01-05,Hispanic,F,NARCOTICS
4,2024-01-06,Black,M,ASSAULT
5,2024-01-07,Black,M,THEFT
6,2024-01-08,White,F,DECEPTIVE PRACTICE
7,2024-01-09,Hispanic,M,BURGLARY
8,2024-01-10,Black,M,NARCOTICS
9,2024-01-11,White,M,CRIMINAL DAMAGE
10,2024-01-12,Black,F,BATTERY
11,2024-01-13,Hispanic,M,THEFT
12,2024-01-14,Black,M,ROBBERY
13,2024-01-15,White,M,ASSAULT
14,2024-01-16,Black,F,NARCOTICS
15,2024-01-17,Hispanic,M,BATTERY
16,2024-01-18,Black,M,THEFT
17,2024-01-19,White,M,CRIMINAL TRESPASS
18,2024-01-20,Black,F,ASSAULT
19,2024-01-21,Hispanic,M,NARCOTICS
20,2024-01-22,Black,M,BATTERY
21,2024-01-23,White,F,THEFT
22,2024-01-24,Black,M,ROBBERY
23,2024-01-25,Hispanic,M,ASSAULT
24,2024-01-26,Black,F,NARCOTICS
25,2024-01-27,White,M,CRIMINAL DAMAGE
26,2024-01-28,Black,M,BATTERY
27,2024-01-29,Hispanic,F,THEFT
28,2024-01-30,Black,M,ASSAULT
29,2024-02-01,White,M,NARCOTICS
30,2024-02-02,Black,F,BATTERY
31,2024-02-03,Hispanic,M,THEFT
32,2024-02-04,Black,M,ROBBERY
33,2024-02-05,White,M,ASSAULT
34,2024-02-06,Black,F,NARCOTICS
35,2024-02-07,Hispanic,M,BATTERY
36,2024-02-08,Black,M,THEFT
37,2024-02-09,White,F,CRIMINAL DAMAGE
38,2024-02-10,Black,M,ASSAULT
39,2024-02-11,Hispanic,M,NARCOTICS
40,2024-02-12,Black,F,BATTERY
41,2024-02-13,White,M,THEFT
42,2024-02-14,Black,M,ROBBERY
43,2024-02-15,Hispanic,M,ASSAULT
44,2024-02-16,Black,F,NARCOTICS
45,2024-02-17,White,M,CRIMINAL TRESPASS
46,2024-02-18,Black,M,BATTERY
47,2024-02-19,Hispanic,F,THEFT
48,2024-02-20,Black,M,ASSAULT
49,2024-02-21,White,M,NARCOTICS
50,2024-02-22,Black,F,BATTERY
51,2024-03-01,Hispanic,M,THEFT
52,2024-03-02,Black,M,ROBBERY
53,2024-03-03,White,M,ASSAULT
54,2024-03-04,Black,F,NARCOTICS
55,2024-03-05,Hispanic,M,BATTERY
56,2024-03-06,Black,M,THEFT
57,2024-03-07,White,F,CRIMINAL DAMAGE
58,2024-03-08,Black,M,ASSAULT
59,2024-03-09,Hispanic,M,NARCOTICS
60,2024-03-10,Black,F,BATTERY
61,2024-03-11,White,M,THEFT
62,2024-03-12,Black,M,ROBBERY
63,2024-03-13,Hispanic,M,ASSAULT
64,2024-03-14,Black,F,NARCOTICS
65,2024-03-15,White,M,CRIMINAL TRESPASS
66,2024-03-16,Black,M,BATTERY
67,2024-03-17,Hispanic,F,THEFT
68,2024-03-18,Black,M,ASSAULT
69,2024-03-19,White,M,NARCOTICS
70,2024-03-20,Black,F,BATTERY
71,2024-04-01,Hispanic,M,THEFT
72,2024-04-02,Black,M,ROBBERY
73,2024-04-03,White,M,ASSAULT
74,2024-04-04,Black,F,NARCOTICS
75,2024-04-05,Hispanic,M,BATTERY
76,2024-04-06,Black,M,THEFT
77,2024-04-07,White,F,CRIMINAL DAMAGE
78,2024-04-08,Black,M,ASSAULT
79,2024-04-09,Hispanic,M,NARCOTICS
80,2024-04-10,Black,F,BATTERY
81,2024-04-11,White,M,THEFT
82,2024-04-12,Black,M,ROBBERY
83,2024-04-13,Hispanic,M,ASSAULT
84,2024-04-14,Black,F,NARCOTICS
85,2024-04-15,White,M,CRIMINAL TRESPASS
86,2024-04-16,Black,M,BATTERY
87,2024-04-17,Hispanic,F,THEFT
88,2024-04-18,Black,M,ASSAULT
89,2024-04-19,White,M,NARCOTICS
90,2024-04-20,Black,F,BATTERY
91,2025-01-01,Hispanic,M,THEFT
92,2025-01-02,Black,M,ROBBERY
93,2025-01-03,White,M,ASSAULT
94,2025-01-04,Black,F,NARCOTICS
95,2025-01-05,Hispanic,M,BATTERY
96,2025-01-06,Black,M,THEFT
97,2025-01-07,White,F,CRIMINAL DAMAGE
98,2025-01-08,Black,M,ASSAULT
99,2025-01-09,Hispanic,M,NARCOTICS
100,2025-01-10,Black,F,BATTERY
101,2025-01-11,White,M,THEFT
102,2025-01-12,Black,M,ROBBERY
103,2025-01-13,Hispanic,M,ASSAULT
104,2025-01-14,Black,F,NARCOTICS
105,2025-01-15,White,M,CRIMINAL TRESPASS
106,2025-01-16,Black,M,BATTERY
107,2025-01-17,Hispanic,F,THEFT
108,2025-01-18,Black,M,ASSAULT
109,2025-01-19,White,M,NARCOTICS
110,2025-01-20,Black,F,BATTERY
111,2025-02-01,Hispanic,M,THEFT
112,2025-02-02,Black,M,ROBBERY
113,2025-02-03,White,M,ASSAULT
114,2025-02-04,Black,F,NARCOTICS
115,2025-02-05,Hispanic,M,BATTERY
116,2025-02-06,Black,M,THEFT
117,2025-02-07,White,F,CRIMINAL DAMAGE
118,2025-02-08,Black,M,ASSAULT
119,2025-02-09,Hispanic,M,NARCOTICS
120,2025-02-10,Black,F,BATTERY
121,2025-02-11,White,M,THEFT
122,2025-02-12,Black,M,ROBBERY
123,2025-02-13,Hispanic,M,ASSAULT
124,2025-02-14,Black,F,NARCOTICS
125,2025-02-15,White,M,CRIMINAL TRESPASS
126,2025-02-16,Black,M,BATTERY
127,2025-02-17,Hispanic,F,THEFT
128,2025-02-18,Black,M,ASSAULT
129,2025-02-19,White,M,NARCOTICS
130,2025-02-20,Black,F,BATTERY
131,2025-03-01,Hispanic,M,THEFT
132,2025-03-02,Black,M,ROBBERY
133,2025-03-03,White,M,ASSAULT
134,2025-03-04,Black,F,NARCOTICS
135,2025-03-05,Hispanic,M,BATTERY
136,2025-03-06,Black,M,THEFT
137,2025-03-07,White,F,CRIMINAL DAMAGE
138,2025-03-08,Black,M,ASSAULT
139,2025-03-09,Hispanic,M,NARCOTICS
140,2025-03-10,Black,F,BATTERY
141,2025-03-11,White,M,THEFT
142,2025-03-12,Black,M,ROBBERY
143,2025-03-13,Hispanic,M,ASSAULT
144,2025-03-14,Black,F,NARCOTICS
145,2025-03-15,White,M,CRIMINAL TRESPASS
146,2025-03-16,Black,M,BATTERY
147,2025-03-17,Hispanic,F,THEFT
148,2025-03-18,Black,M,ASSAULT
149,2025-03-19,White,M,NARCOTICS
150,2025-03-20,Black,F,BATTERY
151,2025-04-01,Hispanic,M,THEFT
152,2025-04-02,Black,M,ROBBERY
153,2025-04-03,White,M,ASSAULT
154,2025-04-04,Black,F,NARCOTICS
155,2025-04-05,Hispanic,M,BATTERY
156,2025-04-06,Black,M,THEFT
157,2025-04-07,White,F,CRIMINAL DAMAGE
158,2025-04-08,Black,M,ASSAULT
159,2025-04-09,Hispanic,M,NARCOTICS
160,2025-04-10,Black,F,BATTERY
161,2025-04-11,White,M,THEFT
162,2025-04-12,Black,M,ROBBERY
163,2025-04-13,Hispanic,M,ASSAULT
164,2025-04-14,Black,F,NARCOTICS
165,2025-04-15,White,M,CRIMINAL TRESPASS
166,2025-04-16,Black,M,BATTERY
167,2025-04-17,Hispanic,F,THEFT
168,2025-04-18,Black,M,ASSAULT
169,2025-04-19,White,M,NARCOTICS
170,2025-04-20,Black,F,BATTERY
171,2025-05-01,Hispanic,M,THEFT
172,2025-05-02,Black,M,ROBBERY
173,2025-05-03,White,M,ASSAULT
174,2025-05-04,Black,F,NARCOTICS
175,2025-05-05,Hispanic,M,BATTERY
176,2025-05-06,Black,M,THEFT
