ID,DATE,RACE,CHARGE_TYPE,DESCRIPTION
1,2024-01-02,BLACK,M,BATTERY
2,2024-01-04,HISPANIC,M,THEFT
3,2024-01-05,BLACK,F,NARCOTICS
4,2024-01-07,WHITE,M,ASSAULT
5,2024-01-09,BLACK,F,WEAPONS VIOLATION
6,2024-01-11,HISPANIC,M,CRIMINAL TRESPASS
7,2024-01-12,BLACK,M,BATTERY
8,2024-01-14,HISPANIC,F,ROBBERY
9,2024-01-16,BLACK,M,THEFT
10,2024-01-18,WHITE,M,CRIMINAL DAMAGE
11,2024-01-20,BLACK,F,AGGRAVATED BATTERY
12,2024-01-22,HISPANIC,M,NARCOTICS
13,2024-01-24,BLACK,M,ASSAULT
14,2024-01-26,HISPANIC,F,BURGLARY
15,2024-01-28,BLACK,M,MOTOR VEHICLE THEFT
16,2024-01-30,WHITE,F,WEAPONS VIOLATION
17,2024-02-01,BLACK,M,BATTERY
18,2024-02-03,HISPANIC,M,THEFT
19,2024-02-05,BLACK,F,NARCOTICS
20,2024-02-07,ASIAN/PACIFIC ISLANDER,M,DECEPTIVE PRACTICE
21,2024-02-09,BLACK,M,CRIMINAL DAMAGE
22,2024-02-11,HISPANIC,F,AGGRAVATED ASSAULT
23,2024-02-13,BLACK,M,ASSAULT
24,2024-02-15,WHITE,M,PUBLIC PEACE VIOLATION
25,2024-02-17,BLACK,F,ROBBERY
26,2024-02-19,HISPANIC,M,BATTERY
27,2024-02-21,BLACK,M,THEFT
28,2024-02-23,BLACK,F,NARCOTICS
29,2024-02-25,HISPANIC,M,CRIMINAL TRESPASS
30,2024-02-27,WHITE,F,WEAPONS VIOLATION
31,2024-03-01,BLACK,M,BATTERY
32,2024-03-03,HISPANIC,M,THEFT
33,2024-03-05,BLACK,F,MOTOR VEHICLE THEFT
34,2024-03-07,BLACK,M,CRIMINAL DAMAGE
35,2024-03-09,HISPANIC,F,BURGLARY
36,2024-03-11,WHITE,M,ASSAULT
37,2024-03-13,BLACK,M,NARCOTICS
38,2024-03-15,HISPANIC,F,AGGRAVATED BATTERY
39,2024-03-17,BLACK,M,BATTERY
40,2024-03-19,BLACK,F,ROBBERY
41,2024-03-21,HISPANIC,M,THEFT
42,2024-03-23,WHITE,M,DECEPTIVE PRACTICE
43,2024-03-25,BLACK,F,WEAPONS VIOLATION
44,2024-03-27,HISPANIC,M,CRIMINAL TRESPASS
45,2024-03-29,BLACK,M,ASSAULT
46,2024-03-31,BLACK,F,NARCOTICS
47,2024-04-02,HISPANIC,M,BATTERY
48,2024-04-04,WHITE,M,THEFT
49,2024-04-06,BLACK,F,AGGRAVATED ASSAULT
50,2024-04-08,HISPANIC,M,CRIMINAL DAMAGE
51,2024-04-10,BLACK,M,MOTOR VEHICLE THEFT
52,2024-04-12,BLACK,F,BURGLARY
53,2024-04-14,HISPANIC,M,NARCOTICS
54,2024-04-16,WHITE,F,WEAPONS VIOLATION
55,2024-04-18,BLACK,M,BATTERY
56,2024-04-20,HISPANIC,M,THEFT
57,2024-04-22,BLACK,F,ROBBERY
58,2024-04-24,BLACK,M,ASSAULT
59,2024-04-26,HISPANIC,M,CRIMINAL TRESPASS
60,2024-04-28,WHITE,M,PUBLIC PEACE VIOLATION
