COLLISION_ID,CRASH DATE,CRASH TIME,BOROUGH,DRIVER_SEX,CONTRIBUTING_FACTOR_1,VEHICLE_TYPE
4521001,01/03/2024,08:14,BROOKLYN,M,Driver Inattention/Distraction,Sedan
4521002,01/05/2024,17:42,QUEENS,M,Unsafe Speed,SUV
4521003,01/07/2024,09:30,MANHATTAN,M,Failure to Yield Right-of-Way,Sedan
4521004,01/09/2024,14:55,BRONX,M,Following Too Closely,Sedan
4521005,01/11/2024,07:20,BROOKLYN,F,Driver Inattention/Distraction,SUV
4521006,01/13/2024,22:10,STATEN ISLAND,F,Unsafe Speed,Pickup Truck
4521007,01/15/2024,11:45,QUEENS,M,Traffic Control Disregarded,Sedan
4521008,01/17/2024,16:30,MANHATTAN,M,Driver Inattention/Distraction,Taxi
4521009,01/19/2024,06:55,BROOKLYN,M,Unsafe Speed,SUV
4521010,01/21/2024,13:20,BRONX,M,Failure to Yield Right-of-Way,Sedan
4521011,01/23/2024,19:40,QUEENS,F,Driver Inattention/Distraction,Sedan
4521012,01/25/2024,08:05,BROOKLYN,M,Following Too Closely,Van
4521013,01/27/2024,15:15,MANHATTAN,M,Traffic Control Disregarded,Sedan
4521014,01/29/2024,23:30,STATEN ISLAND,M,Unsafe Speed,SUV
4521015,02/02/2024,07:45,BROOKLYN,M,Driver Inattention/Distraction,Sedan
4521016,02/04/2024,12:10,QUEENS,M,Failure to Yield Right-of-Way,SUV
4521017,02/06/2024,18:25,MANHATTAN,M,Driver Inattention/Distraction,Sedan
4521018,02/08/2024,09:50,BRONX,F,Unsafe Speed,Sedan
4521019,02/10/2024,14:35,BROOKLYN,M,Following Too Closely,SUV
4521020,02/12/2024,21:00,QUEENS,M,Traffic Control Disregarded,Sedan
4521021,02/14/2024,06:30,BROOKLYN,F,Driver Inattention/Distraction,Sedan
4521022,02/16/2024,11:55,MANHATTAN,M,Failure to Yield Right-of-Way,Taxi
4521023,02/18/2024,17:20,BRONX,M,Unsafe Speed,SUV
