COLLISION_ID,CRASH DATE,CRASH TIME,BOROUGH,DRIVER_SEX,CONTRIBUTING_FACTOR_1,VEHICLE_TYPE
4700001,2024-03-12,08:30,BROOKLYN,M,Driver Inattention/Distraction,Sedan
4700002,2024-05-21,14:15,QUEENS,M,Failure to Yield Right-of-Way,SUV
4700003,2025-01-10,19:45,MANHATTAN,M,Following Too Closely,Sedan
4700004,2024-11-02,02:20,BRONX,M,Unsafe Speed,Sedan
4700005,2025-06-18,12:05,STATEN ISLAND,F,Backing Unsafely,SUV
4700006,2024-08-30,17:50,BROOKLYN,F,Driver Inattention/Distraction,SUV
4700007,2025-02-14,21:10,QUEENS,F,Traffic Control Disregarded,Sedan
4700008,2024-04-05,10:30,MANHATTAN,M,Driver Inattention/Distraction,Taxi
4700009,2025-09-22,07:45,BROOKLYN,M,Passing or Lane Usage Improper,E-Scooter
4700010,2024-12-15,16:20,BRONX,M,Alcohol Involvement,Sedan
4700011,2025-03-03,11:00,QUEENS,M,Driver Inattention/Distraction,SUV
4700012,2024-07-19,13:40,MANHATTAN,M,Unsafe Lane Changing,Bus
4700013,2025-10-11,23:55,BROOKLYN,M,Unsafe Speed,Motorcycle
4700014,2024-02-28,09:15,BRONX,F,Driver Inattention/Distraction,Sedan
4700015,2025-05-07,08:50,QUEENS,M,Failure to Yield Right-of-Way,SUV
4700016,2024-06-25,15:30,MANHATTAN,M,Driver Inattention/Distraction,Sedan
4700017,2025-08-12,18:20,STATEN ISLAND,M,Backing Unsafely,Pick-up Truck
4700018,2024-10-05,20:10,BROOKLYN,M,Following Too Closely,Sedan
4700019,2025-04-30,06:40,QUEENS,F,Driver Inattention/Distraction,SUV
4700020,2024-01-20,11:55,MANHATTAN,M,Failure to Yield Right-of-Way,Sedan
4700021,2025-11-14,14:25,BRONX,M,Driver Inattention/Distraction,Sedan
4700022,2024-09-08,16:45,BROOKLYN,F,Unsafe Lane Changing,SUV
4700023,2025-07-02,09:35,QUEENS,M,Passing or Lane Usage Improper,Sedan
4700024,2024-03-27,22:15,MANHATTAN,M,Alcohol Involvement,SUV
4700025,2025-12-05,13:10,STATEN ISLAND,F,Driver Inattention/Distraction,Sedan
4700026,2024-05-15,19:20,BROOKLYN,M,Unsafe Speed,Sedan
4700027,2025-01-28,08:15,QUEENS,M,Failure to Yield Right-of-Way,SUV
4700028,2024-11-20,10:50,MANHATTAN,M,Driver Inattention/Distraction,Box Truck
4700029,2025-06-10,15:40,BRONX,M,Following Too Closely,Sedan
4700030,2024-08-01,17:25,BROOKLYN,M,Passing or Lane Usage Improper,Sedan
4700031,2025-02-20,12:30,QUEENS,F,Backing Unsafely,SUV
4700032,2024-04-18,07:20,MANHATTAN,F,Driver Inattention/Distraction,Sedan
4700033,2025-09-05,21:40,BROOKLYN,M,Traffic Control Disregarded,SUV
4700034,2024-12-30,14:55,BRONX,F,Driver Inattention/Distraction,Sedan
