COLLISION_ID,CRASH DATE,CRASH TIME,BOROUGH,DRIVER_SEX,CONTRIBUTING_FACTOR_1,VEHICLE_TYPE
1000001,2024-01-03,08:12,BROOKLYN,M,Driver Inattention/Distraction,Sedan
1000002,2024-01-05,14:45,BROOKLYN,M,Unsafe Speed,SUV
1000003,2024-01-07,19:22,BROOKLYN,F,Following Too Closely,Sedan
1000004,2024-01-09,22:10,BROOKLYN,M,Failure to Yield Right-of-Way,Pickup
1000005,2024-01-12,07:33,BROOKLYN,M,Driver Inattention/Distraction,Sedan
1000006,2024-01-15,11:05,BROOKLYN,M,Passing or Lane Usage Improper,SUV
1000007,2024-01-18,16:40,BROOKLYN,F,Unsafe Speed,Sedan
1000008,2024-01-20,21:55,BROOKLYN,M,Driver Inattention/Distraction,E-Scooter
1000009,2024-01-22,13:17,BROOKLYN,M,Following Too Closely,SUV
1000010,2024-01-25,09:50,BROOKLYN,M,Failure to Yield Right-of-Way,Sedan
1000011,2024-01-27,18:11,BROOKLYN,F,Driver Inattention/Distraction,Sedan
1000012,2024-01-30,23:05,BROOKLYN,M,Unsafe Speed,SUV
1000013,2024-02-02,06:44,BROOKLYN,M,Passing or Lane Usage Improper,Sedan
1000014,2024-02-05,12:30,BROOKLYN,M,Driver Inattention/Distraction,Van
1000015,2024-02-07,17:55,BROOKLYN,F,Following Too Closely,Sedan
1000016,2024-02-10,20:22,BROOKLYN,M,Unsafe Speed,SUV
1000017,2024-02-13,08:15,BROOKLYN,M,Driver Inattention/Distraction,Sedan
1000018,2024-02-16,14:08,BROOKLYN,M,Failure to Yield Right-of-Way,Pickup
1000019,2024-02-19,19:41,BROOKLYN,F,Driver Inattention/Distraction,Sedan
1000020,2024-02-22,22:33,BROOKLYN,M,Unsafe Speed,SUV
1000021,2024-02-25,11:26,BROOKLYN,M,Passing or Lane Usage Improper,Sedan
1000022,2024-02-28,16:52,BROOKLYN,M,Following Too Closely,SUV
1000023,2024-03-02,07:39,BROOKLYN,F,Driver Inattention/Distraction,Sedan
1000024,2024-03-05,13:11,BROOKLYN,M,Unsafe Speed,SUV
1000025,2024-03-08,18:27,BROOKLYN,M,Failure to Yield Right-of-Way,Sedan
1000026,2024-03-11,21:50,BROOKLYN,M,Driver Inattention/Distraction,E-Scooter
1000027,2024-03-14,09:18,BROOKLYN,F,Following Too Closely,Sedan
1000028,2024-03-17,15:45,BROOKLYN,M,Unsafe Speed,SUV
1000029,2024-03-20,20:02,BROOKLYN,M,Driver Inattention/Distraction,Sedan
1000030,2024-03-23,23:37,BROOKLYN,M,Passing or Lane Usage Improper,Van
1000031,2024-03-26,10:09,BROOKLYN,F,Driver Inattention/Distraction,Sedan
1000032,2024-03-29,14:55,BROOKLYN,M,Unsafe Speed,SUV
1000033,2024-04-01,19:28,BROOKLYN,M,Failure to Yield Right-of-Way,Sedan
1000034,2024-04-04,22:12,BROOKLYN,M,Driver Inattention/Distraction,SUV
1000035,2024-04-07,06:58,BROOKLYN,F,Following Too Closely,Sedan
1000036,2024-04-10,12:41,BROOKLYN,M,Unsafe Speed,SUV
1000037,2024-04-13,17:33,BROOKLYN,M,Driver Inattention/Distraction,Sedan
1000038,2024-04-16,20:47,BROOKLYN,M,Passing or Lane Usage Improper,Pickup
1000039,2024-04-19,08:22,BROOKLYN,F,Driver Inattention/Distraction,Sedan
1000040,2024-04-22,13:56,BROOKLYN,M,Unsafe Speed,SUV
1000041,2024-04-25,18:18,BROOKLYN,M,Following Too Closely,Sedan
