COLLISION_ID,CRASH DATE,CRASH TIME,BOROUGH,DRIVER_SEX,CONTRIBUTING_FACTOR_1,VEHICLE_TYPE
4700001,2024-05-12,14:30,BROOKLYN,M,Driver Inattention/Distraction,Sedan
4700002,2024-01-22,08:15,QUEENS,F,Failure to Yield Right-of-Way,SUV
4700003,2025-03-04,19:45,MANHATTAN,M,Following Too Closely,Taxi
4700004,2024-11-18,11:20,BRONX,M,Unsafe Speed,Sedan
4700005,2025-07-09,16:05,BROOKLYN,M,Driver Inattention/Distraction,SUV
4700006,2024-08-30,22:10,STATEN ISLAND,F,Pavement Slippery,Sedan
4700007,2025-12-14,07:50,MANHATTAN,M,Driver Inattention/Distraction,Box Truck
4700008,2024-04-02,13:25,QUEENS,M,Backing Unsafely,Sedan
4700009,2025-02-27,15:40,BROOKLYN,F,Passing or Lane Usage Improper,E-Scooter
4700010,2024-06-15,18:55,BRONX,M,Traffic Control Disregarded,SUV
4700011,2025-09-21,09:15,BROOKLYN,M,Driver Inattention/Distraction,Sedan
4700012,2024-10-05,21:30,MANHATTAN,M,Unsafe Lane Changing,Taxi
4700013,2025-01-11,12:00,QUEENS,M,Alcohol Involvement,Sedan
4700014,2024-03-22,06:45,BROOKLYN,M,Driver Inattention/Distraction,Station Wagon/Sport Utility Vehicle
4700015,2025-05-30,17:20,BRONX,F,Failure to Yield Right-of-Way,Sedan
4700016,2024-12-08,23:15,STATEN ISLAND,M,Unsafe Speed,SUV
4700017,2025-08-14,14:10,QUEENS,F,Driver Inattention/Distraction,Sedan
4700018,2024-02-19,10:35,MANHATTAN,M,Following Too Closely,Bus
4700019,2025-11-03,15:50,BROOKLYN,M,Turning Improperly,Sedan
4700020,2024-07-26,19:00,QUEENS,M,Driver Inattention/Distraction,SUV
4700021,2025-04-12,08:40,BRONX,M,Reaction to Uninvolved Vehicle,Sedan
4700022,2024-09-07,13:15,BROOKLYN,F,Failure to Yield Right-of-Way,Sedan
4700023,2025-10-28,16:25,MANHATTAN,M,Driver Inattention/Distraction,Delivery Truck
4700024,2024-05-04,11:10,QUEENS,M,Backing Unsafely,SUV
4700025,2025-06-19,20:45,BROOKLYN,M,Unsafe Speed,Sedan
4700026,2024-01-14,14:30,BRONX,F,Driver Inattention/Distraction,Sedan
4700027,2025-02-05,07:20,QUEENS,M,Following Too Closely,SUV
4700028,2024-11-23,18:15,MANHATTAN,M,Driver Inattention/Distraction,Taxi
4700029,2025-03-17,12:50,BROOKLYN,M,Passing or Lane Usage Improper,Sedan
4700030,2024-08-11,15:35,STATEN ISLAND,M,Failure to Yield Right-of-Way,SUV
4700031,2025-07-22,09:05,QUEENS,M,Driver Inattention/Distraction,Sedan
4700032,2024-04-29,16:40,BROOKLYN,F,Unsafe Lane Changing,SUV
4700033,2025-01-08,13:20,MANHATTAN,M,Following Too Closely,Sedan
4700034,2024-06-30,22:55,BRONX,M,Alcohol Involvement,Sedan
