COLLISION_ID,CRASH DATE,CRASH TIME,BOROUGH,DRIVER_SEX,CONTRIBUTING_FACTOR,VEHICLE_TYPE
1001,01/03/2024,08:23,Brooklyn,M,Driver Inattention/Distraction,Sedan
1002,01/05/2024,17:45,Queens,F,Unsafe Speed,SUV
1003,01/07/2024,09:10,Manhattan,M,Following Too Closely,Taxi
1004,01/09/2024,14:30,Bronx,M,Failure to Yield Right-of-Way,Sedan
1005,01/11/2024,07:55,Staten Island,F,Driver Inattention/Distraction,SUV
1006,01/13/2024,18:20,Brooklyn,M,Unsafe Lane Changing,Pick-up Truck
1007,01/15/2024,12:40,Queens,NaN,Traffic Control Disregarded,Sedan
1008,01/17/2024,06:15,Manhattan,M,Driver Inattention/Distraction,Bus
1009,01/19/2024,21:30,Bronx,F,Unsafe Speed,Sedan
1010,01/21/2024,16:05,Brooklyn,M,Failure to Yield Right-of-Way,SUV
1011,01/23/2024,10:50,Queens,M,Driver Inattention/Distraction,Sedan
1012,01/25/2024,13:25,Manhattan,F,Following Too Closely,Taxi
1013,01/27/2024,19:00,Bronx,M,Unsafe Lane Changing,Sedan
1014,01/29/2024,08:45,Staten Island,M,Driver Inattention/Distraction,Pick-up Truck
1015,02/02/2024,15:35,Brooklyn,F,Unsafe Speed,Sedan
1016,02/04/2024,07:20,Queens,M,Failure to Yield Right-of-Way,SUV
1017,02/06/2024,11:10,Manhattan,M,Driver Inattention/Distraction,Sedan
1018,02/08/2024,16:50,Bronx,NaN,Traffic Control Disregarded,Sedan
1019,02/10/2024,09:30,Brooklyn,F,Following Too Closely,SUV
1020,02/12/2024,18:00,Queens,M,Driver Inattention/Distraction,Pick-up Truck
1021,02/14/2024,13:15,Manhattan,M,Unsafe Lane Changing,Taxi
1022,02/16/2024,07:40,Bronx,F,Unsafe Speed,Sedan
1023,02/18/2024,20:25,Staten Island,M,Driver Inattention/Distraction,SUV
1024,02/20/2024,10:05,Brooklyn,M,Failure to Yield Right-of-Way,Sedan
1025,02/22/2024,14:55,Queens,F,Following Too Closely,Sedan
1026,02/24/2024,17:30,Manhattan,M,Driver Inattention/Distraction,Bus
1027,02/26/2024,08:10,Bronx,M,Unsafe Lane Changing,Sedan
1028,02/28/2024,12:45,Brooklyn,NaN,Traffic Control Disregarded,SUV
1029,03/01/2024,19:20,Queens,F,Unsafe Speed,Sedan
1030,03/03/2024,09:55,Manhattan,M,Driver Inattention/Distraction,Taxi
1031,03/05/2024,15:10,Bronx,M,Failure to Yield Right-of-Way,Sedan
1032,03/07/2024,07:35,Staten Island,F,Driver Inattention/Distraction,Pick-up Truck
1033,03/09/2024,11:50,Brooklyn,M,Following Too Closely,Sedan
1034,03/11/2024,16:25,Queens,M,Unsafe Lane Changing,SUV
1035,03/13/2024,20:00,Manhattan,F,Driver Inattention/Distraction,Sedan
1036,03/15/2024,08:30,Bronx,M,Unsafe Speed,Sedan
1037,03/17/2024,13:05,Brooklyn,M,Traffic Control Disregarded,Pick-up Truck
1038,03/19/2024,17:40,Queens,NaN,Driver Inattention/Distraction,Sedan
1039,03/21/2024,10:15,Manhattan,F,Failure to Yield Right-of-Way,Taxi
1040,03/23/2024,14:50,Bronx,M,Following Too Closely,Sedan
1041,03/25/2024,06:25,Staten Island,M,Driver Inattention/Distraction,SUV
1042,03/27/2024,18:55,Brooklyn,F,Unsafe Lane Changing,Sedan
1043,03/29/2024,09:20,Queens,M,Unsafe Speed,Sedan
1044,04/01/2024,15:45,Manhattan,M,Driver Inattention/Distraction,Bus
1045,04/03/2024,07:10,Bronx,F,Failure to Yield Right-of-Way,Sedan
1046,04/05/2024,12:35,Brooklyn,M,Following Too Closely,SUV
1047,04/07/2024,16:00,Queens,M,Traffic Control Disregarded,Sedan
1048,04/09/2024,19:30,Manhattan,NaN,Driver Inattention/Distraction,Taxi
1049,04/11/2024,08:55,Bronx,M,Unsafe Speed,Sedan
1050,04/13/2024,13:20,Staten Island,F,Unsafe Lane Changing,Pick-up Truck
1051,04/15/2024,17:45,Brooklyn,M,Driver Inattention/Distraction,Sedan
1052,04/17/2024,10:10,Queens,M,Failure to Yield Right-of-Way,SUV
1053,04/19/2024,14:35,Manhattan,F,Following Too Closely,Taxi
1054,04/21/2024,07:00,Bronx,M,Driver Inattention/Distraction,Sedan
1055,04/23/2024,18:25,Brooklyn,M,Unsafe Speed,Sedan
1056,04/25/2024,11:50,Queens,NaN,Traffic Control Disregarded,SUV
1057,04/27/2024,15:15,Manhattan,F,Driver Inattention/Distraction,Sedan
1058,04/29/2024,09:40,Bronx,M,Unsafe Lane Changing,Pick-up Truck
1059,05/01/2024,13:05,Staten Island,M,Failure to Yield Right-of-Way,Sedan
1060,05/03/2024,16:30,Brooklyn,F,Driver Inattention/Distraction,SUV
1061,05/05/2024,07:55,Queens,M,Following Too Closely,Sedan
1062,05/07/2024,12:20,Manhattan,M,Unsafe Speed,Taxi
1063,05/09/2024,17:45,Bronx,F,Driver Inattention/Distraction,Sedan
1064,05/11/2024,10:10,Brooklyn,M,Traffic Control Disregarded,Sedan
1065,05/13/2024,14:35,Queens,M,Failure to Yield Right-of-Way,SUV
1066,05/15/2024,08:00,Manhattan,NaN,Driver Inattention/Distraction,Bus
1067,05/17/2024,19:25,Bronx,F,Unsafe Lane Changing,Sedan
1068,05/19/2024,11:50,Staten Island,M,Unsafe Speed,Pick-up Truck
1069,05/21/2024,15:15,Brooklyn,M,Driver Inattention/Distraction,Sedan
1070,05/23/2024,06:40,Queens,F,Following Too Closely,SUV
1071,05/25/2024,13:05,Manhattan,M,Failure to Yield Right-of-Way,Taxi
1072,05/27/2024,17:30,Bronx,M,Driver Inattention/Distraction,Sedan
1073,05/29/2024,09:55,Brooklyn,F,Unsafe Speed,Sedan
1074,05/31/2024,14:20,Queens,M,Traffic Control Disregarded,Sedan
1075,06/02/2024,18:45,Manhattan,M,Unsafe Lane Changing,Taxi
1076,06/04/2024,08:10,Bronx,NaN,Driver Inattention/Distraction,SUV
