COLLISION_ID,CRASH DATE,CRASH TIME,BOROUGH,DRIVER_SEX,CONTRIBUTING_FACTOR,VEHICLE_TYPE
470001,01/15/2024,08:30,Manhattan,M,Driver Inattention/Distraction,Sedan
470002,01/22/2024,17:45,Brooklyn,F,Failure to Yield Right-of-Way,SUV
470003,02/05/2024,23:10,Queens,M,Unsafe Speed,Sedan
470004,02/14/2024,14:20,Bronx,F,Following Too Closely,Sedan
470005,03/01/2024,03:45,Staten Island,M,Alcohol Involvement,Pick-up Truck
470006,03/12/2024,11:15,Manhattan,NaN,Backing Unsafely,Taxi
470007,03/28/2024,19:00,Brooklyn,M,Passing or Lane Usage Improper,SUV
470008,04/05/2024,07:50,Queens,F,Driver Inattention/Distraction,Sedan
470009,04/20/2024,16:30,Bronx,M,Traffic Control Disregarded,Sedan
470010,05/02/2024,13:10,Manhattan,F,Turning Improperly,Sedan
470011,05/18/2024,21:40,Brooklyn,M,Unsafe Speed,SUV
470012,06/05/2024,09:25,Queens,F,Driver Inattention/Distraction,Sedan
470013,06/22/2024,15:55,Staten Island,M,Failure to Yield Right-of-Way,Pick-up Truck
470014,07/04/2024,22:15,Brooklyn,NaN,Alcohol Involvement,Sedan
470015,07/19/2024,12:05,Manhattan,F,Passing Too Closely,Sedan
470016,08/01/2024,18:40,Queens,M,Following Too Closely,SUV
470017,08/15/2024,10:20,Bronx,F,Driver Inattention/Distraction,Sedan
470018,09/03/2024,14:50,Manhattan,M,Failure to Yield Right-of-Way,Taxi
470019,09/20/2024,02:30,Brooklyn,M,Unsafe Speed,Sedan
470020,10/05/2024,11:30,Queens,F,Backing Unsafely,SUV
470021,10/25/2024,17:15,Bronx,M,Driver Inattention/Distraction,Sedan
470022,11/11/2024,08:45,Manhattan,F,Traffic Control Disregarded,Sedan
470023,11/30/2024,20:10,Staten Island,M,Aggressive Driving/Road Rage,Pick-up Truck
470024,12/12/2024,16:00,Brooklyn,NaN,Following Too Closely,SUV
470025,12/24/2024,23:55,Queens,M,Unsafe Speed,Sedan
470026,01/05/2025,09:10,Manhattan,F,Driver Inattention/Distraction,Sedan
470027,01/18/2025,14:35,Brooklyn,M,Failure to Yield Right-of-Way,SUV
