COLLISION_ID,CRASH DATE,CRASH TIME,BOROUGH,DRIVER_SEX,CONTRIBUTING_FACTOR,VEHICLE_TYPE
1000001,2024-01-03,08:15,Brooklyn,M,Driver Inattention/Distraction,Sedan
1000002,2024-01-04,17:42,Queens,F,Unsafe Speed,SUV
1000003,2024-01-05,22:10,Manhattan,M,Failure to Yield Right-of-Way,Sedan
1000004,2024-01-06,13:25,Bronx,M,Following Too Closely,Pick-up Truck
1000005,2024-01-07,19:33,Staten Island,F,Driver Inattention/Distraction,SUV
1000006,2024-01-08,07:55,Brooklyn,M,Unsafe Speed,Sedan
1000007,2024-01-09,16:12,Queens,NaN,Failure to Yield Right-of-Way,Van
1000008,2024-01-10,21:45,Manhattan,F,Backing Unsafely,Sedan
1000009,2024-01-11,11:20,Bronx,M,Driver Inattention/Distraction,SUV
1000010,2024-01-12,18:05,Brooklyn,F,Unsafe Lane Changing,Sedan
1000011,2024-01-13,23:15,Queens,M,Unsafe Speed,SUV
1000012,2024-01-14,14:50,Manhattan,F,Driver Inattention/Distraction,Taxi
1000013,2024-01-15,09:30,Bronx,M,Failure to Yield Right-of-Way,Pick-up Truck
1000014,2024-01-16,20:40,Brooklyn,F,Following Too Closely,Sedan
1000015,2024-01-17,06:55,Queens,M,Unsafe Speed,SUV
1000016,2024-01-18,12:10,Manhattan,NaN,Driver Inattention/Distraction,Sedan
1000017,2024-01-19,17:25,Bronx,F,Backing Unsafely,SUV
1000018,2024-01-20,22:05,Brooklyn,M,Unsafe Lane Changing,Van
1000019,2024-01-21,10:45,Queens,F,Driver Inattention/Distraction,Sedan
1000020,2024-01-22,15:30,Manhattan,M,Failure to Yield Right-of-Way,Sedan
1000021,2024-01-23,19:10,Bronx,M,Unsafe Speed,SUV
1000022,2024-01-24,08:05,Brooklyn,F,Following Too Closely,Sedan
1000023,2024-01-25,21:35,Queens,M,Driver Inattention/Distraction,Pick-up Truck
1000024,2024-01-26,13:55,Manhattan,F,Unsafe Lane Changing,Sedan
1000025,2024-01-27,18:20,Staten Island,M,Failure to Yield Right-of-Way,SUV
1000026,2024-01-28,07:40,Bronx,F,Driver Inattention/Distraction,Sedan
1000027,2024-01-29,16:00,Brooklyn,M,Unsafe Speed,SUV
1000028,2024-01-30,23:50,Queens,NaN,Backing Unsafely,Sedan
1000029,2024-01-31,11:35,Manhattan,M,Failure to Yield Right-of-Way,Taxi
1000030,2024-02-01,14:15,Bronx,F,Following Too Closely,SUV
1000031,2024-02-02,19:45,Brooklyn,M,Driver Inattention/Distraction,Sedan
1000032,2024-02-03,09:10,Queens,F,Unsafe Speed,Van
1000033,2024-02-04,20:55,Manhattan,M,Unsafe Lane Changing,Sedan
1000034,2024-02-05,12:30,Bronx,F,Failure to Yield Right-of-Way,Pick-up Truck
1000035,2024-02-06,17:05,Brooklyn,M,Driver Inattention/Distraction,SUV
1000036,2024-02-07,06:50,Queens,F,Unsafe Speed,Sedan
1000037,2024-02-08,22:15,Manhattan,M,Following Too Closely,Sedan
1000038,2024-02-09,13:20,Bronx,NaN,Backing Unsafely,SUV
1000039,2024-02-10,18:40,Brooklyn,F,Driver Inattention/Distraction,Taxi
1000040,2024-02-11,08:25,Queens,M,Unsafe Speed,Sedan
1000041,2024-02-12,15:10,Manhattan,F,Failure to Yield Right-of-Way,SUV
1000042,2024-02-13,21:05,Bronx,M,Unsafe Lane Changing,Sedan
1000043,2024-02-14,10:55,Brooklyn,F,Driver Inattention/Distraction,Van
1000044,2024-02-15,18:35,Queens,M,Unsafe Speed,SUV
1000045,2024-02-16,07:20,Manhattan,F,Following Too Closely,Sedan
1000046,2024-02-17,23:45,Bronx,M,Driver Inattention/Distraction,Pick-up Truck
1000047,2024-02-18,12:05,Brooklyn,F,Backing Unsafely,Sedan
1000048,2024-02-19,16:25,Queens,M,Unsafe Speed,SUV
1000049,2024-02-20,20:15,Manhattan,NaN,Failure to Yield Right-of-Way,Taxi
