COLLISION_ID,CRASH DATE,CRASH TIME,BOROUGH,DRIVER_SEX,CONTRIBUTING_FACTOR,VEHICLE_TYPE
NYC48294710,01/03/2024,14:30,Brooklyn,M,Driver Inattention/Distraction,Sedan
NYC72910483,01/05/2024,17:45,Queens,F,Failure to Yield Right-of-Way,SUV
NYC38194720,01/08/2024,08:15,Manhattan,NaN,Unsafe Speed,Station Wagon/Sport Utility Vehicle
NYC56482019,01/12/2024,22:10,Bronx,M,Backing Unsafely,Pick-up Truck
NYC19730485,01/15/2024,09:20,Queens,F,Turning Improperly,4 dr sedan
NYC84029174,01/19/2024,16:50,Brooklyn,M,Passing or Lane Usage Improper,Sedan
NYC30519472,01/24/2024,07:45,Manhattan,F,Traffic Control Disregarded,SUV
NYC67293841,01/28/2024,11:10,Queens,M,Other Vehicular,Sedan
NYC91827364,02/02/2024,18:25,Bronx,NaN,Alcohol Involvement,Van
NYC45619283,02/06/2024,13:55,Brooklyn,M,Driver Inattention/Distraction,SUV
NYC81350629,02/11/2024,20:40,Manhattan,F,Unsafe Speed,2 dr sedan
NYC27491830,02/16/2024,10:05,Queens,M,Failure to Yield Right-of-Way,Taxi
NYC69037412,02/21/2024,15:30,Staten Island,F,Driver Inattention/Distraction,Sedan
NYC13579246,02/26/2024,08:50,Bronx,M,Backing Unsafely,Pick-up Truck
NYC98765432,03/03/2024,19:15,Brooklyn,NaN,Turning Improperly,SUV
NYC24681357,03/08/2024,12:20,Manhattan,M,Unsafe Speed,Sedan
NYC36925814,03/14/2024,06:45,Queens,F,Driver Inattention/Distraction,Station Wagon/Sport Utility Vehicle
NYC14725836,03/19/2024,21:10,Bronx,M,Passing or Lane Usage Improper,4 dr sedan
NYC25836914,03/25/2024,09:35,Brooklyn,F,Traffic Control Disregarded,SUV
NYC74185296,03/30/2024,16:55,Manhattan,NaN,Other Vehicular,Sedan
NYC85296314,04/04/2024,14:10,Queens,M,Alcohol Involvement,Van
